pc_pxcode;pc_order_child;pc_pxname;pc_pxcode_loinc;pc_pxcode_loinc_display;pc_pxcode_speciment_code;pc_pxcode_speciment_name;pc_unit;pc_normal;pc_min_normal;pc_max_normal;pc_min_l;pc_max_l;pc_min_p;pc_max_p;pc_normal_l;pc_normal_p;pc_barcode;pc_remarks;pc_method
I0211;;Hbe Ag;"
  5191-2";"
  Hepatitis
  B virus e Ag [Units/volume] in Serum by Immunoassay";119364003;Serum specimen;;;;;;;;;;;;Janji :2 hari; CMIA 
I0212;;Anti HBe;"
  5189-6";"
  Hepatitis
  B virus e Ab [Units/volume] in Serum by Immunoassay";119364003;Serum specimen;;;;;;;;;;;;Janji :2 hari;ELFA 
I0213;;FT4 N;;;;;pmol/l;10.6 - 19.4;10.6;19.4;;;;;;;;;ELFA 
I0214;;TSH;"
  3016-3";"
  Thyrotropin
  [Units/volume] in Serum or Plasma"; 119364003; Serum specimen ;uIU/ml;Eutiroid = 0.25 - 5.0<BR>Hypertyroid = < 0.15<BR>Hypotyroid = > 7.0;;;;;;;;;;Janji :1 hari;ELFA 
I0216;;Anti Dengue;;;;;;;;;;;;;;;;;Immunochromatographic 
I021601;;Anti Dengue IgG;;;;;;Negatif;;;;;;;;;;;Immunochromatographic 
I021602;;Anti Dengue IgM;;;;;;Negatif;;;;;;;;;;;Immunochromatographic 
I0219;;TPHA;"
  8041-6";"
  Treponema
  pallidum Ab [Presence] in Serum by Hemagglutination";119364003;Serum specimen;;Non Reaktif;;;;;;;;;;Janji :2 hari;agglutination 
I0221;;VDRL;"
  5292-8";"
  Reagin
  Ab [Presence] in Serum by VDRL";119364003;Serum specimen;;Non Reaktif;;;;;;;;;;Janji :1 hari;Agglutination 
I0223;;CRP;"
  11039-5";"
  C
  reactive protein [Presence] in Serum or Plasma";119364003;Serum specimen;;Negatif;;;;;;;;;;Janji :2 hari;agglutination 
I0224;;ASTO;"
  25788-1";"
  Streptolysin
  O Ab [Units/volume] in Serum by Latex agglutination";119364003;Serum specimen;IU/ml;<= 200;0;200;;;;;;;;Janji :1 hari;Agglutination 
I0225;;Tubercolusis;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I022501;;Tubercolusis IgG;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I022502;;Tubercolusis IgM;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I0226;;;;;;;;;;;;;;;;;;; 
I0227;;Rhematoid Factors;"
  5297-7";"
  Rheumatoid
  factor [Presence] in Serum by Latex agglutination";119364003;Serum specimen;;Negatif;;;;;;;;;;;agglutination 
I0228;;Widal;;;;;;;;;;;;;;;;Janji :2 jam;Agglutination 
I022801;;#NAME?;;;;;;Negatif;;;;;;;;;;Janji :;Agglutination 
I022802;;#NAME?;;;;;;Negatif;;;;;;;;;;Janji :;Agglutination 
I022803;;#NAME?;;;;;;Negatif;;;;;;;;;;Janji :;Agglutination 
I022804;;#NAME?;;;;;;Negatif;;;;;;;;;;Janji :;Agglutination 
I022805;;#NAME?;;;;;;Negatif;;;;;;;;;;Janji :;Agglutination 
I022806;;#NAME?;;;;;;Negatif;;;;;;;;;;Janji :;Agglutination 
I022807;;#NAME?;;;;;;Negatif;;;;;;;;;;Janji :;Agglutination 
I022808;;#NAME?;;;;;;Negatif;;;;;;;;;;Janji :;Agglutination 
I0229;;Tubex TF;"
  17566-1";"
  Salmonella
  typhi O Ab [Presence] in Serum"; 119364003 ; Serum specimen;;Interpretasi hasil TUBEX TF:<BR>0 - 2 : Negatif, Tidak mengindikasikan terjadinya infeksi demam tifoid pada saat ini.<BR>4 - 10 : Postif, Semakin tinggi skornya, maka semakin kuat indikasi terjadinya infeksi demam tifoid pada saat ini;;;;;;;;;;; 
I0230;;Ca 125;"
  83082-8";"
  Cancer
  Ag 125 [Units/volume] in Serum or Plasma by Immunoassay"; 119364003 ; Serum specimen ;U/mL;<= 35;0;35;;;;;;;;;ELFA 
I0231;;Ca 15-3;;;;;U/mL;;;;;;;;;;;; 
I0232;;Ca 19-9;;;;;U/mL;< 37.0;;;;;;;;;;;ELISA 
I0233;;IgE Total;;;;;IU/ml;< 100;;;;;;;;;;;ECLIA 
I0234;;NS1 ;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I0235;;IgM Anti Toxoplasma;"
  5390-0";"
  Toxoplasma
  gondii IgM Ab [Units/volume] in Serum by Immunoassay";119364003;Serum specimen;IU/mL;Negatif < 0.55<BR>Equivocal : 0.55 - < 0.65<BR>disarankan periksa kembali 2-3 minggu kemudian<BR>Positif : >= 0.65;;;;;;;;;;;ELFA 
I0236;;IgG Anti Toxoplasma;"
  5388-4";"
  Toxoplasma
  gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay";119364003;Serum specimen;IU/mL;Negatif < 4<BR>Equivocal : 4 - <8<BR>disarankan periksa kembali 2-3 minggu kemudian<BR>Positif : >= 8;;;;;;;;;;;ELFA 
I0237;;IgM Anti Rubella;"
  5335-5";"
  Rubella
  virus IgM Ab [Units/volume] in Serum by Immunoassay";119364003;Serum specimen;;Negatif < 0.80<BR>Equivocal : 0.80 - 1.20<BR>Positif : >= 1.20;;;;;;;;;;;ELISA 
I0238;;IgG Anti Rubella;"
  5334-8";"
  Rubella
  virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay";;;IU/mL;Negatif < 10<BR>Equivocal : 10 - 15<BR>Positif : >= 15;;;;;;;;;;;ELISA 
I0239;;IgM Anti CMV;"
  5126-8";"
  Cytomegalovirus
  IgM Ab [Units/volume] in Serum or Plasma by Immunoassay";119364003;Serum specimen;;Negatif < 0.70<BR>Equivocal : 0.70 - 0.90<BR>Positif : >= 0.90;;;;;;;;;;;ELISA 
I0240;;IgG Anti CMV;"
  5124-3";"
  Cytomegalovirus
  IgG Ab [Units/volume] in Serum or Plasma by Immunoassay";119364003;Serum specimen;aU/mL;Negatif < 4<BR>Equivocal : 4 - 6<BR>Positif : >= 6;;;;;;;;;;;ELISA 
I0241;;IgM Anti HSV 2;;;;;;Negatif < 0.90<BR>Equivocal : >0.90 - <1.0<BR>Positif : >= 1.0;;;;;;;;;;;ELISA 
I0242;;IgG Anti HSV 2;;;;;;Negatif < 0.90<BR>Equivocal : >0.90 - <1.0<BR>Positif : >= 1.0;;;;;;;;;;;ELISA 
I0243;;Test Kehamilan;;;;;;;;;;;;;;;;;immunochromatographic 
I0244;;Widal 2 Set;;;;;;;;;;;;;;;;; 
I024401;;#NAME?;;;;;;Negatif;;;;;;;;;;;Agglutination 
I024402;;#NAME?;;;;;;Negatif;;;;;;;;;;;Agglutination 
I0245;;ICT TB;;;;;;;;;;;;;;;;;immunochromatographic 
I024501;;IgG ICT TB;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I024502;;IgM ICT TB;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I0246;;Anti HIV;"
  59419-2";"
  HIV 1
  RNA [#/volume] (viral load) in Plasma by Probe with signal amplification";119364003;Serum specimen;;Non Reaktif;;;;;;;;;;;immunochromatographic 
I0247;;RF;;;;;;Negatif;;;;;;;;;;; 
I0248;;VDRL Titer;"
  50690-7";"
  Reagin
  Ab [Titer] in Serum by VDRL";119364003;Serum specimen;;;;;;;;;;;;;Agglutination 
I0249;;TPHA Titer;"
  26009-1";"
  Treponema
  pallidum Ab [Titer] in Serum by Hemagglutination";119364003;Serum specimen;;;;;;;;;;;;;agglutination 
I0250;;FT3;;;;;pg/ml;2.15 - 5.83;2.15;5.83;;;;;;;;;ELISA 
I0251;;ANA Test;;;;;Unit;Negatif : < 20<BR>Equivocal : 20 - 60<BR>Positif : > 60;;;;;;;;;;; 
I0252;;Mantoux Test;;;;;;Negatif :<BR>Indurasi < 6 mm<BR>Positif :<BR>Indurasi >= 6 mm;;;;;;;;;;; 
I0253;;Anti Hbs Titer;"
  32019-2";"
  Hepatitis
  B virus surface Ab [Titer] in Serum";119364003;Serum specimen;IU/L;Negatif < 10;;;;;;;;;;;ELISA 
I0254;;TORCH;;;;;;;;;;;;;;;;; 
I0255;;Aviditas Toxoplasma IgG;"
  56990-5";"
  Toxoplasma
  gondii IgG Ab avidity [Ratio] in Serum by Immunoassay";119364003;Serum specimen;;Low avidity IgG :<BR>< 0.20<BR>Borderline avidity IgG :<BR>0.20 - < 0.30<BR>High Avidity IgG :<BR>>= 0.30;;;;;;;;;;; ELFA 
I0256;;Aviditas CMV IgG;"
  52984-2";"
  Cytomegalovirus
  IgG Ab avidity [Ratio] in Serum or Plasma by Immunoassay";119364003;Serum specimen;;< 0.8 Infeksi primer kurang dari 3 bulan<BR>>= 0.8 Infeksi primer lebih dari 3 bulan;;;;;;;;;;;ELFA 
I0257;;IgM Salmonella Typhi;;;;;;;;;;;;;;;;; 
I0258;;Salmonella Typhi;;;;;;;;;;;;;;;;; 
I025801;;IgG;;;;;;;;;;;;;;;;; 
I025802;;IgM;;;;;;;;;;;;;;;;; 
I0259;;Dengue NS1 Antigen;"
  75377-2";"
  Dengue
  virus NS1 Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay"; 119364003; Serum specimen ;;Negatif;;;;;;;;;;;Immunochromatographic 
I0260;;;;;;;;;;;;;;;;;;; 
I0261;;FT4 (Jangan dipakai);;;;;ng/dL;0.77 - 1.59;;;;;;;;;;;ELISA 
I0262;;Anti Chlamydia trachomatis IgG;;;;;;;;;;;;;;;;; 
I0263;;Anti Chlamydia trachomatis IgG;;;;;;;;;;;;;;;;; 
I0264;;Anti Chlamydia trachomatis IgM;;;;;;;;;;;;;;;;; 
I0265;;Salmonella Typhi;;;;;;;;;;;;;;;;;immunochromatographic 
I026501;;Salmonella Typhi IgG;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I026502;;Salmonella Typhi IgM;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I0266;;TSHs;"
  11580-8";"
  Thyrotropin
  [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L"; 119364003; Serum specimen ;uIU/ml;Eutiroid : 0.34 - 4.22<BR>Hipertiroid : < 0.34<BR>Hipotiroid : > 4.2;;;;;;;;;;; 
I0267;;HbsAg Titer;"
  63557-3";"
  Hepatitis
  B virus surface Ag [Units/volume] in Serum or Plasma by Immunoassay";119364003;Serum specimen;;Non Reaktif < 0.13<BR>Reaktif >= 0.13;;;;;;;;;;;ELISA 
I0268;;ICT Malaria;;;;;;;;;;;;;;;;;immunochromatographic 
I026801;;Plasmodium falciparum;;;;;;Negatif;;;;;;;;;;; 
I026802;;Plasmodium vivax;;;;;;Negatif;;;;;;;;;;; 
I0269;;IgM Anti HBc;"
  24113-3";"
  Hepatitis
  B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay";119364003;Serum specimen;;;;;;;;;;;;; 
I0270;;IgG Anti HSV 1;;;;;;Negatif : < 0.6Equivocal : >= 0.6 - < 1.0Positif : >= 1.0;;;;;;;;;;; ECLIA 
I0271;;IgM Anti HSV 1;;;;;;Negatif : < 0.90<BR>Equivocal : 0.90 - 1.10<BR>Positif : > 1.10;;;;;;;;;;;ELISA 
I0272;;IgM Leptospira;"
  23202-5";"
  Leptospira
  sp IgM Ab [Presence] in Serum";199364003;Serum specimen;;Negatif;;;;;;;;;;; 
I0273;;Beta HCG Kuant. Serum;;;;;mIU/ml;NILAI NORMAL BETA HCG;;;;;;;;;;; 
I027301;;;;;;;;Wanita tidak hamil premenopause < 5.3 mIU/ml;;;;;;;;;;; 
I027302;;;;;;;;Wanita Post Menopause < 8.3 mIU/ml;;;;;;;;;;; 
I027303;;;;;;;;Laki-laki < 2.6 mIU/ml;;;;;;;;;;; 
I027304;;;;;;;;Hamil 3 minggu : 5.8 - 71.2 mIU/ml;;;;;;;;;;; 
I027305;;;;;;;;Hamil 4 minggu : 9.5 - 750 mIU/ml;;;;;;;;;;; 
I027306;;;;;;;;Hamil 5 minggu : 217 - 7138 mIU/ml;;;;;;;;;;; 
I027307;;;;;;;;Hamil 6 minggu : 158 - 31798 mIU/ml;;;;;;;;;;; 
I027308;;;;;;;;Hamil 7 minggu : 3697 - 163563 mIU/ml;;;;;;;;;;; 
I027309;;;;;;;;Hamil 8 minggu : 63803 - 149571 mIU/ml;;;;;;;;;;; 
I027310;;;;;;;;Hamil 9 minggu : 63803 - 151410 mIU/ml;;;;;;;;;;; 
I027311;;;;;;;;Hamil 10 minggu : 46509 - 186977 mIU/ml;;;;;;;;;;; 
I027312;;;;;;;;Hamil 12 minggu : 27832 - 210612 mIU/ml;;;;;;;;;;; 
I027313;;;;;;;;Hamil 14 minggu : 13950 - 62530 mIU/ml;;;;;;;;;;; 
I027314;;;;;;;;Hamil 15 minggu : 12039 - 70971 mIU/ml;;;;;;;;;;; 
I027315;;;;;;;;Hamil 16 minggu : 9040 - 56451 mIU/ml;;;;;;;;;;; 
I027316;;;;;;;;Hamil 17 minggu : 8175 - 55868 mlU/ml;;;;;;;;;;; 
I027317;;;;;;;;Hamil 18 minggu : 8099 - 58176 mIU/ml;;;;;;;;;;; 
I0274;;IgG ACA;;;;;;;;;;;;;;;;; 
I0275;;IgM ACA;;;;;;;;;;;;;;;;; 
I0276;;PSA Total;;;;;;;;;;;;;;;;; 
I0277;;Rapid Test Antibodi Anti SARS cov-2;;;;;;;;;;;;;;;;;immunochromatographic 
I027701;;Anti SARS-coV 2 IgM;;;;;;Non Reaktif;;;;;;;;;;;immunochromatographic 
I027702;;Anti SARS-coV 2 IgG;;;;;;Non Reaktif;;;;;;;;;;;immunochromatographic 
I027703;;;;;;;;;;;;;;;;;;; 
I027704;;;;;;;;;;;;;;;;;;; 
I027705;;;;;;;;;;;;;;;;;;; 
I027706;;;;;;;;;;;;;;;;;;; 
I027707;;Keterangan;;;;;;Catatan : <BR>Hasil Non Reaktif tidak menyingkirkan kemungkinan terinfeksi SARS-CoV-2 sehingga masih beresiko menularkan<BR>ke orang lain. Hasil Non Reaktif dapat terjadi pada kondisi :<BR>- Seseorang belum/tidak terinfeksi <BR>- Window period(terinfeksi namun antibodi belum terbentuk)<BR>- Immunocompromised<BR>- Kadar antibodi dibawah level deteksi alat <BR><BR>Saran :<BR>- Ulang pemeriksaan rapid tes antibodi 10 hari kemudian<BR>- Tetap menjaga social/physical distancing <BR>- Pertahankan perilaku hidup bersih dan sehat(Cuci tangan, terapkan etika batuk, gunakan masker saat sakit,<BR>  jaga stamina).;;;;;;;;;;; 
I027708;;Keterangan;;;;;;Saran :<BR>- Lanjutkan dengan pemeriksaan konfirmasi PCR <BR>- Tetap lakukan Social Distancing/isolasi diri.;;;;;;;;;;; 
I0278;;Syphilis;;;;;;;;;;;;;;;;; 
I0279;;Antigen SARS CoV-2;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I027901;; ;;;;;;;;;;;;;;;;; 
I027902;;;;;;;;;;;;;;;;;;; 
I027903;;;;;;;;;;;;;;;;;;; 
I027904;;;;;;;;;;;;;;;;;;; 
I027905;;;;;;;;;;;;;;;;;;; 
I027906;;Keterangan;;;;;;<b>Saran</b>: <br><ul><li>Pemeriksaan konfirmasi dengan pemeriksaan RT-PCR</li><li>Lakukan karantina atau isolasi sesuai dengan kriteria</li><li>Menerapkan PHBS (perilaku hidup bersih dan sehat): mencuci tangan, menerapkan etika batuk, menggunakan masker saat sakit, menjaga stamina), dan <i>physical distancing</i>.</li></ul>;;;;;;;;;;; 
I027907;;Keterangan;;;;;;<b>Catatan :</b><br><ul><li>Hasil negatif tidak menyingkirkan kemungkinan terinfeksi SARS-CoV-2 sehingga masih berisiko menularkan ke orang lain, disarankan tes ulang atau tes konfirmasi dengan NAAT (nucleic acid amplification tests), bila probabilitas pretes relatif tinggi, terutama bila pasien bergejala atau diketahui memiliki kontak dengan orang yang terkonfirmasi COVID-19.</li><li>Hasil negatif dapat terjadi pada kondisi kuantitas antigen pada spesimen dibawah level deteksi alat.</li></ul>;;;;;;;;;;; 
I0280;;Rapid Syphilis;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I0282;;hs-CRP;"
  30522-7";"
  C
  reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method";119364003;Serum specimen;mg/L;0.00 - 10.0;;;;;;;;;;; FIA 
I0283;;;;;;;;;;;;;;;;;;; 
I0284;;Amilase;;;;;;;;;;;;;;;;; 
I0285;;Anti SARS-CoV 2 Kuantitatif;;;;;AU/mL;;;;;;;;Negatif : < 10.00 AU/mL<BR>Positif : >= 10.00 AU/mL;Negatif : < 10.00 AU/mL<BR>Positif : >= 10.00 AU/mL;;; Fluorescene Immunochromatography 
I0286;;Dengue Duo;;;;;;;;;;;;;;;I;;Immunochromatographic 
I028601;;Dengue IgG;;;;;;Negatif;;;;;;;;;;;Immunochromatographic 
I028602;;Dengue IgM;;;;;;Negatif;;;;;;;;;;;Immunochromatographic 
I028603;;Dengue NS1;;;;;;Negatif;;;;;;;;;;;Immunochromatographic 
I0287;;Free PSA;;;;;;;;;;;;;;;;; 
I0288;;CRP Titer;"
  1988-5";"
  C
  reactive protein [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/L;0.00 - 10.0;;;;;;;;;I;; 
I0289;;Asto Titer;"
  22568-0";"
  Streptolysin
  O Ab [Titer] in Serum";119364003;Serum specimen;IU/ml;Negatif;;;;;;;;;;; 
I0290;;Tes HIV Konfirmasi;;;;;;Non Reaktif;;;;;;;;;I;; 
I0291;;;;;;;;;;;;;;;;;;; 
I0292;;RPR (Rapid Plasma Reagin) Syphilis;;;;;;Non Reaktif;;;;;;;;;IS;; 
I0293;;ANA IF;;;;;;;;;;;;;;;;; 
I0294;;ANA Profile;;;;;;;;;;;;;;;I;; 
I0295;;Hormon;;;;;;;;;;;;;;;I;; 
I0296;;;;;;;;;;;;;;;;;;; 
I0297;;Human Growth Hormon;;;;;;;;;;;;;;;;; 
I0298;;;;;;;;;;;;;;;;;;; 
K0301;301;Cholesterol Total;2093-3;Cholesterol [Mass/volume] in Serum or Plasma;119364003;Serum specimen;mg/dl;< 200;0;200;;;;;;;;Janji :1 jam; CHOD-POD 
K0302;304;Cholesterol LDL;2089-1;Cholesterol in LDL [Mass/volume] in Serum or Plasma;119364003;Serum specimen;mg/dl;< 100;0;100;;;;;;;;Janji :1 jam; Direct 
K0303;303;Cholesterol HDL;"
  2085-9";"
  Cholesterol
  in HDL [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dl;40 - 60;40;60;;;;;;;;Janji :1 jam;Direct 
K0304;302;Trigliserida;2571-8;"
  Triglyceride
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dl;< 200;0;200;;;;;;;;Janji :1 jam; GPO-POD 
K0305;305;CK;;;;;U/L;< 145;;;;;;;< 145;< 145;;Janji :2 hari; 
K0306;306;CK-MB;;;;;U/L;;7.0;25.0;0;25;0;25;sampai 25;sampai 25;;Janji :2 hari;Enzimatik 
K0307;307;SGOT;"
  88112-8";"
  Aspartate
  aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No
  addition of P-5'-P";119364003;Serum specimen;U/L;;;;0;35;0;31;Sampai 35;Sampai 31;;Janji : 1 jam; IFCC 
K0308;308;SGPT;"
  1744-2";"
  Alanine
  aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No
  addition of P-5'-P";199364003;Serum specimen;U/L;;;;0;45;0;34;Sampai 45;Sampai 34;;Janji :1 jam; IFCC 
K0309;309;Gamma GT;"
  2324-2";"
  Gamma
  glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma";19364003;Serum specimen;U/L;May-85;5;85;;;;;;;;Janji :1 jam; IFCC 
K0311;311;Alkaline Fosfatase;"
  6768-6";"
  Alkaline
  phosphatase [Enzymatic activity/volume] in Serum or Plasma";119364003;Serum specimen;U/L;;;;80;306;80;306;80 - 306;80 - 306;;Janji :1 jam;Optimised Standard 
K0312;317;LDH;;"
  Lactate
  dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to
  pyruvate reaction";;;U/L;;240;480;120;240;120;240;120- 240 ;120 - 240 ;;Janji :2 hari; 
K0314;318;Kalium;"
  6298-4";"
  Potassium
  [Moles/volume] in Blood";119364003;Serum specimen;mmol/L;3.5 - 5.5;3.5;5.5;3.5;5.5;3.5;5.5;3.5 - 5.5;3.5 - 5.5;;Janji :1 hari; 
K0315;319;Natrium;"
  2947-0";"
  Sodium
  [Moles/volume] in Blood";119364003 ;Serum specimen;mmol/L;135 - 145;135;147;135;145;135;145;135 - 145 ;135 - 145 ;;Janji :1 hari; 
K0316;320;Chlorida;"
  2069-3";"
  Chloride
  [Moles/volume] in Blood";119364003;Serum specimen ;mmol/L;96 - 106;96;106;96;106;98;106;96 - 106;96 - 106;;Janji :1 hari;ISE 
K0317;312;Bilirubin Total;"
  1975-2";"
  Bilirubin.total
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dl;;0;1.00;0;1.00;0;1;Sampai 1.00;Sampai 1.00;;Janji :1 jam;Modified Jendrassik/Grof 
K0318;313;Bilirubin Direct;"
  1968-7";"
  Bilirubin.direct
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dl;;0.1;0.4;0.1;0.47;0.1;0.4;0.4;;;;Modified Jendrassik/Grof 
K0319;314;Total Protein;"
  2885-2";"
  Protein
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;g/dl;6.6 - 8.7;6.6;8.7;;;;;;;;Janji :1 jam; Biuret Reaction 
K0321;315;Albumin;"
  61151-7";"
  Albumin
  [Mass/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding
  method";119364003;Serum spesimen;g/dl;3.4 - 4.8;3.4;4.8;;;;;;;;Janji :1 jam; 
K0322;316;Globulin;"
  10834-0";"
  Globulin
  [Mass/volume] in Serum by calculation";119364003;Serum specimen;gram%;;1.6;4.9;1.5;3;1.5;3;1.5 - 3.0;1.5 - 3.0;;Janji :1 jam; 
K0325;;Cholinesterase;;;;;U/L;;;;3000;9300;3000;9300;3000 - 9300 ;3000 - 9300 ;;Janji :1 jam; 
K0326;329;Glukosa Darah Puasa;2345-7;Glucose [Mass/volume] in Serum or Plasma;119364003;Serum specimen;mg/dl;70 - 115;70;115;70;115;70;115;70 - 115;70 - 115;;Janji :1 jam; GOD-POD 
K0327;330;Glukosa Darah 2 Jam PP;2345-7;Glucose [Mass/volume] in Serum or Plasma;119364003;Serum specimen;mg/dl;;;< 140;0;140;0;140;< 140 ;< 140 ;;Janji :1 jam;GOD-POD 
K0328;331;Glukosa Darah Sewaktu;2345-7;Glucose [Mass/volume] in Serum or Plasma;119364003;Serum specimen;mg/dl;;;< 140;0;140;0;140;< 140;< 140;;Janji :1 jam;GOD-POD 
K0329;326;Ureum;"
  20977-5";"
  Urea
  [Mass/volume] in Blood";119364003;Serum Spesimen;mg/dl;Oct-50;10;50;;;;;;;;Janji : 1 jam; Urease-GLDH, UV 
K0331;327;Creatinin;2160-0;"Creatinine
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dl;0.6 - 1.3;0.6;1.3;;;;;;;;Janji :1 jam;Sarcosine Oxidase 
K0332;328;Asam Urat;"
  3084-1";"
  Urate
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dl;;;;3.4;7.0;2.4;5.7;3.4 - 7.0;2.4 - 5.7;;Janji :1 jam; Uricase-Peroxidase 
K0333;333;Amylase;;;;;U/L;;;;0;120;0;120;Sampai 120;Sampai 120;;Janji :2 hari; 
K0334;334;Lipase;;;;;U/L;;13;60;0;190;0;190;Sampai 190 ;Sampai 190 ;;Janji :2 hari; 
K0335;332;HbA 1C;"
  59261-8";"
  Hemoglobin
  A1c/Hemoglobin.total in Blood by IFCC protocol";119297000;Blood specimen;%;< 6.5 : Baik<BR>6.5 - 8.0 : Sedang<BR>> 8 : Buruk;;;;;;;;;;;Barronaite 
K0336;;Troponin I;;;;;ng/ml;0.00 - 0.02<BR>> 0.02 Abnormal;;;;;;;;;;; 
K0337;;tes;;;;;;;;;;;;;;;;; 
K0338;;SGOT;"
  88112-8";"
  Aspartate
  aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No
  addition of P-5'-P";119364003;Serum specimen;U/L;;;;0;35;0;31;Sampai 35;Sampai 31;;Janji  : 1 jam; IFCC 
K0339;;SGPT;"
  1744-2";"
  Alanine
  aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No
  addition of P-5'-P";199364003;Serum specimen;U/L;;;;0;45;0;34;Sampai 45;Sampai 34;;Janji :1 jam; IFCC 
K0340;;Kalsium;"
  17861-6";"
  Calcium
  [Mass/volume] in Serum or Plasma";;;mg/dL;8.1 - 10.4;;;;;;;;;;;Coloriimetric. Arsenazo III 
K0341;;Elektrolit;;;;;;;;;;;;;;;;;ISE 
K034101;;Kalium;;;;;mmol/L;3.5 - 5.5;3.5;5.5;;;;;3.5 - 5.5;3.5 - 5.5;;;ISE 
K034102;;Natrium;;;;;mmol/L;135 - 145;135;145;;;;;;135 - 145;;;ISE 
K034103;;Klorida;;;;;mmol/L;96 - 106;;;;;;;;;;;ISE 
K0342;;Elektrolit;;;;;;;;;;;;;;;;;ISE 
K034201;;Kalium;;;;;mmol/L;3.5 - 5.5;;;;;;;3.5 - 5.5;3.5 - 5.5;;;ISE 
K0343;;Bilirubin Indirect;"
  1971-1";"
  Bilirubin.indirect
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dl;sampai 0.75;0;;;;;;;;;; 
K0344;;Alkali Fosfatase;"
  6768-6";"
  Alkaline
  phosphatase [Enzymatic activity/volume] in Serum or Plasma";119364003;Serum specimen;U/L;;;;80;306;80;306;80 - 306;80 - 306;;;Kolorimetri 
K0346;;Microalbumin;;;;;mg/L;< 20;;;;;;;;;;; 
K0347;;Rasio LDL/HDL;"
  9830-1";"
  Cholesterol.total/Cholesterol
  in HDL [Mass Ratio] in Serum or Plasma";119364003;Serum specimen;;Resiko rendah : < 3<BR>Moderat : 3 - 5<BR>Resiko Tinggi : > 5;;;;;;;;;;; 
K0348;;Magnesium;"
  19123-9";"
  Magnesium
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dL;1.6 - 2.6;1.6;2.6;;;;;;;;; 
K0349;;;;;;;;;;;;;;;;;;; 
K0350;;rasio Cholesterol/HDL;"
  9830-1";"
  Cholesterol.total/Cholesterol
  in HDL [Mass Ratio] in Serum or Plasma";119364003;Serum specimen;;;;;;;;;;;;; 
K0351;;Cairan Pleura / Ascites;;;;;;;;;;;;;;;;; 
K035101;;Fisis;;;;;;;;;;;;;;;;; 
K03510101;;Warna;;;;;;TRANSUDAT : (Kekuningan);;;;;;;;;;; 
K03510102;;;;;;;;EKSUDAT : ( Coklat, Merah, Hijau, Krem,;;;;;;;;;;; 
K03510103;;;;;;;;Kuning, Putih, Merah muda/Pink);;;;;;;;;;; 
K03510105;;Jernih;;;;;;TRANSUDAT : (Jernih);;;;;;;;;;; 
K03510106;;;;;;;;EKSUDAT : (Kemerahan, Keruh, Purulen);;;;;;;;;;; 
K03510107;;Bekuan;;;;;;TRANSUDAT : (Negatif);;;;;;;;;;; 
K03510108;;;;;;;;EKSUDAT : (Positif);;;;;;;;;;; 
K03510109;;Berat Jenis;;;;;;TRANSUDAT : < 1.015;;;;;;;;;;; 
K03510110;;;;;;;;EKSUDAT  : > 1.015;;;;;;;;;;; 
K03510111;;Jumlah Sel;;;;;;TRANSUDAT : < 300 / uL;;;;;;;;;;; 
K03510112;;;;;;;;EKSUDAT  : > 1000 /uL;;;;;;;;;;; 
K035102;;Hitung Jenis;;;;;;;;;;;;;;;;; 
K03510201;;Limfosit;;;;;%;;;;;;;;;;;; 
K03510202;;Segmen;;;;;%;;;;;;;;;;;; 
K035103;;Tes Rivalta;;;;;;;;;;;;;;;;; 
